Incident,sem:hasPlace,sem:hasTimeStamp,sem:hasActor
http://www.wikidata.org/entity/Q5651331,1,1,0
http://www.wikidata.org/entity/Q60441824,1,1,0
http://www.wikidata.org/entity/Q5985531,1,1,0
http://www.wikidata.org/entity/Q18758263,1,1,0
http://www.wikidata.org/entity/Q4793607,1,1,0
http://www.wikidata.org/entity/Q2391690,1,1,0
http://www.wikidata.org/entity/Q23018346,1,1,0
http://www.wikidata.org/entity/Q39059982,1,1,0
http://www.wikidata.org/entity/Q30643828,1,1,0
http://www.wikidata.org/entity/Q39046100,1,1,0
http://www.wikidata.org/entity/Q60519479,1,1,0
http://www.wikidata.org/entity/Q30644585,1,1,0
http://www.wikidata.org/entity/Q10681317,1,1,0
http://www.wikidata.org/entity/Q60442108,1,1,0
http://www.wikidata.org/entity/Q56279392,1,1,0
http://www.wikidata.org/entity/Q2090886,1,1,0
http://www.wikidata.org/entity/Q39059975,1,1,0
http://www.wikidata.org/entity/Q55723938,1,1,0
http://www.wikidata.org/entity/Q30641305,1,1,0
http://www.wikidata.org/entity/Q7053913,1,1,0
http://www.wikidata.org/entity/Q11689148,1,1,0
http://www.wikidata.org/entity/Q60519471,1,1,0
http://www.wikidata.org/entity/Q30643932,1,1,0
http://www.wikidata.org/entity/Q6537597,1,1,0
http://www.wikidata.org/entity/Q39046296,1,1,0
http://www.wikidata.org/entity/Q5598781,1,1,0
http://www.wikidata.org/entity/Q5439799,1,1,0
http://www.wikidata.org/entity/Q20685047,1,1,0
http://www.wikidata.org/entity/Q5598969,1,1,0
http://www.wikidata.org/entity/Q14626794,1,1,0
http://www.wikidata.org/entity/Q7570230,1,1,0
http://www.wikidata.org/entity/Q58433554,1,1,0
http://www.wikidata.org/entity/Q39047240,1,1,0
http://www.wikidata.org/entity/Q198851,1,1,0
http://www.wikidata.org/entity/Q5598659,1,1,0
http://www.wikidata.org/entity/Q5501881,1,1,0
http://www.wikidata.org/entity/Q48842073,1,1,0
http://www.wikidata.org/entity/Q39047061,1,1,0
http://www.wikidata.org/entity/Q6488019,1,1,0
http://www.wikidata.org/entity/Q123069,1,1,0
http://www.wikidata.org/entity/Q7570228,1,1,0
http://www.wikidata.org/entity/Q39046281,1,1,0
http://www.wikidata.org/entity/Q434319,1,1,0
http://www.wikidata.org/entity/Q63590016,1,1,0
http://www.wikidata.org/entity/Q1549050,1,1,0
http://www.wikidata.org/entity/Q23018273,1,1,0
http://www.wikidata.org/entity/Q30638578,1,1,0
http://www.wikidata.org/entity/Q23137,1,1,0
http://www.wikidata.org/entity/Q17000791,1,1,0
http://www.wikidata.org/entity/Q39046325,1,1,0
http://www.wikidata.org/entity/Q61963712,1,1,0
http://www.wikidata.org/entity/Q1481974,1,1,0
http://www.wikidata.org/entity/Q39046322,1,1,0
http://www.wikidata.org/entity/Q48845359,1,1,0
http://www.wikidata.org/entity/Q30643826,1,1,0
http://www.wikidata.org/entity/Q5021103,1,1,0
http://www.wikidata.org/entity/Q6495330,1,1,0
http://www.wikidata.org/entity/Q30643823,1,1,0
http://www.wikidata.org/entity/Q7622106,1,1,0
http://www.wikidata.org/entity/Q5111285,1,1,0
http://www.wikidata.org/entity/Q4601957,1,1,0
http://www.wikidata.org/entity/Q20671234,1,1,0
http://www.wikidata.org/entity/Q2120749,1,1,0
http://www.wikidata.org/entity/Q7425636,1,1,0
http://www.wikidata.org/entity/Q28549976,1,1,0
http://www.wikidata.org/entity/Q3403123,1,1,0
http://www.wikidata.org/entity/Q5066472,1,1,0
http://www.wikidata.org/entity/Q55604835,1,1,0
http://www.wikidata.org/entity/Q23018229,1,1,0
http://www.wikidata.org/entity/Q4147375,1,1,0
http://www.wikidata.org/entity/Q303438,1,1,0
http://www.wikidata.org/entity/Q6797090,1,1,0
http://www.wikidata.org/entity/Q39060208,1,1,0
http://www.wikidata.org/entity/Q5786070,1,1,0
http://www.wikidata.org/entity/Q4782020,1,1,0
http://www.wikidata.org/entity/Q170652,1,1,0
http://www.wikidata.org/entity/Q473893,1,1,0
http://www.wikidata.org/entity/Q2115164,1,1,0
http://www.wikidata.org/entity/Q2712908,1,1,0
http://www.wikidata.org/entity/Q55604838,1,1,0
http://www.wikidata.org/entity/Q5598783,1,1,0
http://www.wikidata.org/entity/Q4609262,1,1,0
http://www.wikidata.org/entity/Q12064441,1,1,0
http://www.wikidata.org/entity/Q30644575,1,1,0
http://www.wikidata.org/entity/Q1746935,1,1,0
http://www.wikidata.org/entity/Q30973589,1,1,0
http://www.wikidata.org/entity/Q65049028,1,1,0
http://www.wikidata.org/entity/Q56279377,1,1,0
http://www.wikidata.org/entity/Q64362231,1,1,0
http://www.wikidata.org/entity/Q30643836,1,1,0
http://www.wikidata.org/entity/Q60519415,1,1,0
http://www.wikidata.org/entity/Q4611820,1,1,0
http://www.wikidata.org/entity/Q30642708,1,1,0
http://www.wikidata.org/entity/Q6155838,1,1,0
http://www.wikidata.org/entity/Q48723698,1,1,0
http://www.wikidata.org/entity/Q3591470,1,1,0
http://www.wikidata.org/entity/Q3789908,1,1,0
http://www.wikidata.org/entity/Q60519448,1,1,0
http://www.wikidata.org/entity/Q5004337,1,1,0
http://www.wikidata.org/entity/Q20727461,1,1,0
http://www.wikidata.org/entity/Q757986,1,1,0
http://www.wikidata.org/entity/Q7961083,1,1,0
http://www.wikidata.org/entity/Q5567218,1,1,0
http://www.wikidata.org/entity/Q13451278,1,1,0
http://www.wikidata.org/entity/Q60519458,1,1,0
http://www.wikidata.org/entity/Q309578,1,1,0
http://www.wikidata.org/entity/Q3517855,1,1,0
http://www.wikidata.org/entity/Q4561228,1,1,0
http://www.wikidata.org/entity/Q6392257,1,1,0
http://www.wikidata.org/entity/Q569304,1,1,0
http://www.wikidata.org/entity/Q444003,1,1,0
http://www.wikidata.org/entity/Q1325863,1,1,0
http://www.wikidata.org/entity/Q60519452,1,1,0
http://www.wikidata.org/entity/Q39060201,1,1,0
http://www.wikidata.org/entity/Q21872940,1,1,0
http://www.wikidata.org/entity/Q8064873,1,1,0
http://www.wikidata.org/entity/Q20295077,1,1,0
http://www.wikidata.org/entity/Q7860196,1,1,0
http://www.wikidata.org/entity/Q62055402,1,1,0
http://www.wikidata.org/entity/Q21872497,1,1,0
http://www.wikidata.org/entity/Q30643807,1,1,0
http://www.wikidata.org/entity/Q7487455,1,1,0
http://www.wikidata.org/entity/Q19520594,1,1,0
http://www.wikidata.org/entity/Q1144602,1,1,0
http://www.wikidata.org/entity/Q23045905,1,1,0
http://www.wikidata.org/entity/Q15106043,1,1,0
http://www.wikidata.org/entity/Q39047060,1,1,0
http://www.wikidata.org/entity/Q39047236,1,1,0
http://www.wikidata.org/entity/Q60519480,1,1,0
http://www.wikidata.org/entity/Q84027698,1,1,0
http://www.wikidata.org/entity/Q4575042,1,1,0
http://www.wikidata.org/entity/Q15121730,1,1,0
http://www.wikidata.org/entity/Q21714331,1,1,0
http://www.wikidata.org/entity/Q39047233,1,1,0
http://www.wikidata.org/entity/Q473863,1,1,0
http://www.wikidata.org/entity/Q19613356,1,1,0
http://www.wikidata.org/entity/Q934470,1,1,0
http://www.wikidata.org/entity/Q55616701,1,1,0
http://www.wikidata.org/entity/Q60441838,1,1,0
http://www.wikidata.org/entity/Q55184134,1,1,0
http://www.wikidata.org/entity/Q30642200,1,1,0
http://www.wikidata.org/entity/Q18702358,1,1,0
http://www.wikidata.org/entity/Q20679588,1,1,0
http://www.wikidata.org/entity/Q4781931,1,1,0
http://www.wikidata.org/entity/Q10971509,1,1,0
http://www.wikidata.org/entity/Q6155782,1,1,0
http://www.wikidata.org/entity/Q48766,1,1,0
http://www.wikidata.org/entity/Q6839755,1,1,0
http://www.wikidata.org/entity/Q1803283,1,1,0
http://www.wikidata.org/entity/Q39047253,1,1,0
http://www.wikidata.org/entity/Q48842053,1,1,0
http://www.wikidata.org/entity/Q30641790,1,1,0
http://www.wikidata.org/entity/Q18732673,1,1,0
http://www.wikidata.org/entity/Q30644134,1,1,0
http://www.wikidata.org/entity/Q24965514,1,1,0
http://www.wikidata.org/entity/Q39060080,1,1,0
http://www.wikidata.org/entity/Q4599837,1,1,0
http://www.wikidata.org/entity/Q48843820,1,1,0
http://www.wikidata.org/entity/Q39060209,1,1,0
http://www.wikidata.org/entity/Q16016666,1,1,0
http://www.wikidata.org/entity/Q39047048,1,1,0
http://www.wikidata.org/entity/Q2071916,1,1,0
http://www.wikidata.org/entity/Q60519428,1,1,0
http://www.wikidata.org/entity/Q3586550,1,1,0
http://www.wikidata.org/entity/Q60519438,1,1,0
http://www.wikidata.org/entity/Q166283,1,1,0
http://www.wikidata.org/entity/Q39047251,1,1,0
http://www.wikidata.org/entity/Q30642189,1,1,0
http://www.wikidata.org/entity/Q60519416,1,1,0
http://www.wikidata.org/entity/Q60771644,1,1,0
http://www.wikidata.org/entity/Q2662317,1,1,0
http://www.wikidata.org/entity/Q4610424,1,1,0
http://www.wikidata.org/entity/Q16958645,1,1,0
http://www.wikidata.org/entity/Q932149,1,1,0
http://www.wikidata.org/entity/Q23018267,1,1,0
http://www.wikidata.org/entity/Q957459,1,1,0
http://www.wikidata.org/entity/Q23018347,1,1,0
http://www.wikidata.org/entity/Q725982,1,1,0
http://www.wikidata.org/entity/Q325760,1,1,0
http://www.wikidata.org/entity/Q1047674,1,1,0
http://www.wikidata.org/entity/Q186166,1,1,0
http://www.wikidata.org/entity/Q39060199,1,1,0
http://www.wikidata.org/entity/Q55604839,1,1,0
http://www.wikidata.org/entity/Q60448181,1,1,0
http://www.wikidata.org/entity/Q60519405,1,1,0
http://www.wikidata.org/entity/Q56279556,1,1,0
http://www.wikidata.org/entity/Q30635857,1,1,0
http://www.wikidata.org/entity/Q6312086,1,1,0
http://www.wikidata.org/entity/Q30644587,1,1,0
http://www.wikidata.org/entity/Q4612040,1,1,0
http://www.wikidata.org/entity/Q60519467,1,1,0
http://www.wikidata.org/entity/Q62389968,1,1,0
http://www.wikidata.org/entity/Q22025837,1,1,0
http://www.wikidata.org/entity/Q29096745,1,1,0
http://www.wikidata.org/entity/Q53561433,1,1,0
http://www.wikidata.org/entity/Q5406414,1,1,0
http://www.wikidata.org/entity/Q39046031,1,1,0
http://www.wikidata.org/entity/Q48843780,1,1,0
http://www.wikidata.org/entity/Q7493668,1,1,0
http://www.wikidata.org/entity/Q688821,1,1,0
http://www.wikidata.org/entity/Q7510196,1,1,0
http://www.wikidata.org/entity/Q23018035,1,1,0
http://www.wikidata.org/entity/Q30644113,1,1,0
http://www.wikidata.org/entity/Q7511477,1,1,0
http://www.wikidata.org/entity/Q18641076,1,1,0
http://www.wikidata.org/entity/Q15708337,1,1,0
http://www.wikidata.org/entity/Q473889,1,1,0
http://www.wikidata.org/entity/Q48842059,1,1,0
http://www.wikidata.org/entity/Q22039066,1,1,0
http://www.wikidata.org/entity/Q22241734,1,1,0
http://www.wikidata.org/entity/Q2906686,1,1,0
http://www.wikidata.org/entity/Q39060196,1,1,0
http://www.wikidata.org/entity/Q60441801,1,1,0
http://www.wikidata.org/entity/Q25046275,1,1,0
http://www.wikidata.org/entity/Q7676655,1,1,0
http://www.wikidata.org/entity/Q911233,1,1,0
http://www.wikidata.org/entity/Q5148818,1,1,0
http://www.wikidata.org/entity/Q30643933,1,1,0
http://www.wikidata.org/entity/Q5579337,1,1,0
http://www.wikidata.org/entity/Q3586578,1,1,0
http://www.wikidata.org/entity/Q60519433,1,1,0
http://www.wikidata.org/entity/Q60519449,1,1,0
http://www.wikidata.org/entity/Q30642369,1,1,0
http://www.wikidata.org/entity/Q20732036,1,1,0
http://www.wikidata.org/entity/Q2658753,1,1,0
http://www.wikidata.org/entity/Q4621984,1,1,0
http://www.wikidata.org/entity/Q56043189,1,1,0
http://www.wikidata.org/entity/Q7099791,1,1,0
http://www.wikidata.org/entity/Q48842075,1,1,0
http://www.wikidata.org/entity/Q23016793,1,1,0
http://www.wikidata.org/entity/Q20826727,1,1,0
http://www.wikidata.org/entity/Q3303211,1,1,0
http://www.wikidata.org/entity/Q5600047,1,1,0
http://www.wikidata.org/entity/Q60519453,1,1,0
http://www.wikidata.org/entity/Q23018287,1,1,0
http://www.wikidata.org/entity/Q7076908,1,1,0
http://www.wikidata.org/entity/Q7053914,1,1,0
http://www.wikidata.org/entity/Q460143,1,1,0
http://www.wikidata.org/entity/Q56279898,1,1,0
http://www.wikidata.org/entity/Q30643937,1,1,0
http://www.wikidata.org/entity/Q4611790,1,1,0
http://www.wikidata.org/entity/Q4927032,1,1,0
http://www.wikidata.org/entity/Q4595154,1,1,0
http://www.wikidata.org/entity/Q60519437,1,1,0
http://www.wikidata.org/entity/Q55032258,1,1,0
http://www.wikidata.org/entity/Q23055179,1,1,0
http://www.wikidata.org/entity/Q23018277,1,1,0
http://www.wikidata.org/entity/Q16962694,1,1,0
http://www.wikidata.org/entity/Q5285326,1,1,0
http://www.wikidata.org/entity/Q7076933,1,1,0
http://www.wikidata.org/entity/Q55636645,1,1,0
http://www.wikidata.org/entity/Q3586530,1,1,0
http://www.wikidata.org/entity/Q707547,1,1,0
http://www.wikidata.org/entity/Q12858077,1,1,0
http://www.wikidata.org/entity/Q3297470,1,1,0
http://www.wikidata.org/entity/Q20710134,1,1,0
http://www.wikidata.org/entity/Q39059980,1,1,0
http://www.wikidata.org/entity/Q1150855,1,0,0
http://www.wikidata.org/entity/Q7085964,1,1,0
http://www.wikidata.org/entity/Q52557797,1,1,0
